Poolname;Location;Lndepth;LnSedPerVRatio
Ivor1;IVC;3.80666249;2.866684523
Ivor2;IVC;1.722766598;9.977281601
Ivor3;IVC;2.48490665;11.98947416
Ivor4;IVC;1.791759469;6.093788852
Ivor5;IVC;2.197224577;6.171581116
Ivor6;IVC;3.737669618;1.474387328
Ivor7;IVC;3.979681654;5.924168536
Ivor8;IVC;1.609437912;10.26286997
Ivor9;IVC;2.995732274;2.860159053
Ivor10;IVC;2.197224577;10.04615543
Ivor11;IVC;1.609437912;9.100772879
Ivor12;IVC;1.704748092;10.50582612
Ivor13;IVC;2.397895273;6.035753386
Ivor14;IVC;1.945910149;8.929740824
Ivor15;IVC;3.295836866;6.258229863
Ivor16;IVC;3.295836866;5.62559642
Ivor17;IVC;1.945910149;10.09664502
Ivor18;IVC;1.871802177;6.784290747
Ivor19;IVC;2.140066163;8.598411795
Ivor20;IVC;1.704748092;10.98852233
Ivor21;IVC;2.197224577;8.053506002
Ivor22;IVC;3.737669618;4.96356205
Ivor23;IVC;0.693147181;9.536601629
Ivor24;IVC;1.098612289;7.92187293
Ivor25;IVC;0.916290732;9.168711629
Ivor26;IVC;3.871201011;4.93559081
Ivor27;IVC;1.504077397;6.495040417
Spain1;SPN;2.803360381;4.548650197
Spain2;SPN;1.871802177;9.679115584
Spain3;SPN;2.63905733;5.36157778
Spain4;SPN;1.335001067;8.427277549
Spain5;SPN;1.30833282;9.128964115
Spain6;SPN;1.589235205;8.982811397
Spain7;SPN;2.4765384;6.687931508
Spain8;SPN;1.458615023;9.951082108
Spain9;SPN;1.458615023;10.52554789
Spain10;SPN;1.30833282;8.910620316
Spain11;SPN;2.360854001;6.157078168
Spain12;SPN;1.30833282;9.976199986
Spain13;SPN;2.970414466;7.548743392
Spain14;SPN;2.879198457;7.307346384
Spain15;SPN;1.931521412;10.25686823
Spain16;SPN;2.76000994;5.728309767
Spain17;SPN;1.808288771;9.130207513
Spain18;SPN;1.916922612;9.636961906
Spain19;SPN;0.955511445;11.57069744
Spain20;SPN;1.667706821;10.76087537
Spain21;SPN;0.641853886;11.05816363
Spain22;SPN;0.955511445;11.38635555
Kam1;KAM;3.401197382;6.409030387
Kam2;KAM;3.526360525;6.25080736
Kam3;KAM;4.418840608;2.259185499
Kam5;KAM;3.610917913;2.941170712
Kam6;KAM;4.356708827;2.555979678
Kam7;KAM;4.574710979;3.984922929
Kam8;KAM;3.091042453;2.468210775
Kam9;KAM;3.258096538;4.612476361
Kam10;KAM;3.044522438;4.242947542
Kam11;KAM;3.374168709;0.632055263
Kam12;KAM;4.189654742;1.339076284
Kor1;KOR;2.708050201;4.878510779
Kor2;KOR;1.704748092;5.859789572
Kor3;KOR;3.17805383;3.880911099
Kor4;KOR;3.17805383;2.154311419
Kor5;KOR;3.314186005;1.886843421
Kor6;KOR;3.610917913;0.217723484
Kor7;KOR;3.433987204;1.382343123
Kor8;KOR;3.433987204;2.208615271
Kor9;KOR;2.833213344;3.538709255
Kor10;KOR;3.295836866;1.306602321
Kor11;KOR;3.238678452;2.167903105
Kor12;KOR;3.526360525;0.912467854
Kor13;KOR;2.140066163;2.870632022
Kor14;KOR;3.465735903;0.734200362
Kor15;KOR;2.302585093;3.211227604
Kor16;KOR;3.135494216;1.06455061
Kor17;KOR;3.135494216;2.081018138
Kor18;KOR;3.17805383;2.336821346
Kor19;KOR;1.504077397;2.560897413
Kor20;KOR;3.044522438;2.31821325
Kor21;KOR;3.33220451;2.517549389
Kor22;KOR;3.610917913;0.465429409
Kor23;KOR;3.044522438;0.721832329
Kor24;KOR;2.890371758;1.181692534
Kor25;KOR;3.091042453;2.365406876
Kor26;KOR;3.246490992;1.269732932
Kor27;KOR;3.526360525;0.145832438
Kor28;KOR;3.63758616;0.307040641
Kor29;KOR;2.901421594;3.14738078
Kor30;KOR;2.901421594;2.219285488
Kor31;KOR;3.258096538;0.375985822
Kor32;KOR;3.091042453;1.515376952
Kor33;KOR;2.944438979;2.277300524
Kor34;KOR;2.772588722;1.540833164
Kor35;KOR;2.890371758;1.68686472
Soz1;SOZ;3.63758616;1.210504372
Soz2;SOZ;2.708050201;3.287205221
Soz3;SOZ;1.945910149;5.53126378
Soz4;SOZ;1.30833282;5.659075746
Soz5;SOZ;3.36729583;1.619933186
Soz6;SOZ;2.564949357;4.492630779
Soz7;SOZ;1.945910149;5.717869495
Soz8;SOZ;0.78845736;7.719499714
Soz9;SOZ;3.258096538;2.245298592
Soz10;SOZ;2.079441542;4.797916819
Soz11;SOZ;3.258096538;0.793205024
Soz12;SOZ;2.48490665;4.129940736
Soz13;SOZ;3.044522438;1.423309513
Soz14;SOZ;1.945910149;5.977657292
Soz15;SOZ;2.63905733;3.842327985
Soz16;SOZ;2.079441542;6.779299885
Soz17;SOZ;2.564949357;5.172854221
Soz18;SOZ;2.197224577;5.078190038
Soz19;SOZ;2.397895273;4.143268563
Soz20;SOZ;2.197224577;5.249495803
Soz21;SOZ;2.564949357;4.412764352
Soz22;SOZ;2.63905733;3.218091873
Soz23;SOZ;2.079441542;5.273944246
Soz24;SOZ;1.791759469;5.340387129
Noz1;NOZ;3.157000421;2.87046867
Noz2;NOZ;1.704748092;4.999563605
Noz3;NOZ;2.564949357;5.450240751
Noz4;NOZ;3.295836866;3.054479912
Noz5;NOZ;2.014903021;6.976300634
Noz6;NOZ;2.397895273;4.627305734
Noz7;NOZ;2.564949357;5.593611245
Noz8;NOZ;1.945910149;4.966892484
Noz9;NOZ;2.079441542;6.437970876
Noz10;NOZ;2.890371758;4.063860303
Noz11;NOZ;3.091042453;4.254895143
Noz12;NOZ;2.48490665;4.832978989
Noz13;NOZ;1.945910149;6.318215417
Noz14;NOZ;2.833213344;4.070950528
Noz15;NOZ;3.33220451;2.638502908
Noz16;NOZ;2.079441542;5.49964264
Noz17;NOZ;2.197224577;6.192017324
Noz18;NOZ;2.564949357;4.262091207
Noz19;NOZ;2.48490665;2.866684523
Noz20;NOZ;3.044522438;3.381692579
Noz21;NOZ;2.197224577;6.498501397
Noz22;NOZ;2.944438979;3.937881094
Noz23;NOZ;2.772588722;4.39031704
Noz24;NOZ;3.17805383;3.268149277
Mal1;MAL;2.079441542;4.673793746
Mal2;MAL;2.079441542;8.632703775
Mal3;MAL;2.772588722;4.105665301
Mal4;MAL;1.791759469;10.63392283
Mal5;MAL;1.609437912;7.07870401
Mal6;MAL;2.079441542;7.126407152
Mal7;MAL;2.397895273;5.086129635
Mal8;MAL;1.945910149;7.283538134
Mal9;MAL;1.791759469;3.896478222
Mal10;MAL;1.386294361;8.758914734
Mal11;MAL;2.564949357;3.993217258
Mal12;MAL;1.945910149;0
Mal13;MAL;1.704748092;9.656763253
Mal14;MAL;2.63905733;5.59280361
Mal15;MAL;1.791759469;9.423814751
Mal16;MAL;2.397895273;5.893619552
Mal17;MAL;3.555348061;6.874506482
Mal18;MAL;0.693147181;8.848513431
Mal19;MAL;3.044522438;5.192645968
Mal20;MAL;3.555348061;4.368858331
Mal21;MAL;1.791759469;9.258628745
Mal22;MAL;2.302585093;7.187816106
Mal23;MAL;3.33220451;3.906425387
Mal24;MAL;2.197224577;5.489531984
Mal25;MAL;3.761200116;2.493522199
Mal26;MAL;3.80666249;4.768254767
Mal27;MAL;3.135494216;3.928337536
Mal28;MAL;1.791759469;9.451983384
Mal29;MAL;3.044522438;2.830585351
Mal30;MAL;1.609437912;9.182344125
